#RowID, new target code, new target name
1818015,186431008,Clostridium difficile infection (disorder)
1211014,186431008,Clostridium difficile infection (disorder)
1212250,186431008,Clostridium difficile infection (disorder)
1212326,186431008,Clostridium difficile infection (disorder)
2726088,186431008,Clostridium difficile infection (disorder)
2727350,186431008,Clostridium difficile infection (disorder)
3796628,186431008,Clostridium difficile infection (disorder)
3796843,186431008,Clostridium difficile infection (disorder)
3797788,186431008,Clostridium difficile infection (disorder)
1106794,186431008,Clostridium difficile infection (disorder)
3681074,186431008,Clostridium difficile infection (disorder)
t414790,186431008,Clostridium difficile infection (disorder)
